_id,locationLongitude,locationCountry,merchantCategoryCode,description,type,merchantName,currencyAmount,locationRegion,source,locationCity,originationDateTime,locationPostalCode,customerId,merchantId,locationLatitude,id,locationStreet,accountId,categoryTags
ObjectId("5db4f9d2bf2b03355cd088fb"),-79.3859842435,CA,5814,MCDONALD'S #22743 QPS,CreditCardTransaction,McDonald's,4.72,ON,POS,Toronto,2019-05-17T09:51:00Z,M4Y 1T2,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,377f59fa-2ed9-4b5c-95e4-e0521d40d938,43.6688504449,4806f34e-01b744e3-cff4-4942-b869-8b4074306b05,675 Yonge St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd088fc"),-79.389531036,CA,7523,TORONTO PARKING AUTHORITY,CreditCardTransaction,Toronto Parking Authority,8.73,ON,POS,Toronto,2019-08-10T18:06:00Z,,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,cece96df-9a88-4cb3-9cc3-479e14fdcff5,43.671276411,4806f34e-01c958e1-94e4-46cb-ad28-c019c4836fe0,37 Yorkville Ave,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Shopping"]"
ObjectId("5db4f9d2bf2b03355cd088fd"),,,6300,AUTO 4336888 INS,DepositAccountTransaction,General Auto Insurance,123.23,,,,2019-06-07T00:00:00.001Z,,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,b172ebbe-5e9d-4ee6-98cc-12b14a2149ab,,4806f34e-01d99dd2-0390-4bd6-a6b0-2dca1ba87b72,,bc176c5f-c6a0-4e56-b9e0-efd9158a8412,"["Bills and Utilities"]"
ObjectId("5db4f9d2bf2b03355cd088fe"),-79.3779792403,CA,5812,SWISS CHALET 9369,CreditCardTransaction,Swiss Chalet,118.90,ON,POS,Toronto,2019-09-14T10:30:00Z,M4W 3J6,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,76aad12c-71a6-447f-8ea3-c7744be7345f,43.6715428613,4806f34e-020905ad-12de-4a0a-83bf-3a695791d7a5,345 Bloor St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd088ff"),-79.3855547228,CA,5814,STARBUCKS #4460,CreditCardTransaction,Starbucks,4.43,ON,POS,Toronto,2019-07-04T19:36:00Z,M4W 1A8,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,0adcf1ab-69fc-4f7f-89c4-5fbd64faa682,43.6707278444,4806f34e-03b33be2-7e82-4fce-9e3a-a7ec9a26228c,2 Bloor St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd08900"),-79.384723708,CA,7523,TORONTO PARKING AUTHORITY,CreditCardTransaction,Toronto Parking Authority,9.39,ON,POS,Toronto,2019-09-07T11:34:00Z,,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,65115289-b301-4a6d-81ba-6972d67e3bb7,43.667568426,4806f34e-03d04d15-e5b4-4483-b4b7-3684ad4088ba,13 Isabella St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Shopping"]"
ObjectId("5db4f9d2bf2b03355cd08901"),-79.3890525235,CA,5651,GAP 0329,CreditCardTransaction,Gap,98.78,ON,POS,Toronto,2019-06-23T07:26:00Z,M4W 3B8,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,1a963aea-5995-4028-96f1-87f346a53027,43.6700542738,4806f34e-054ca222-bc1a-40e7-a587-27cecbecff33,60 Bloor St W,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Shopping"]"
ObjectId("5db4f9d2bf2b03355cd08903"),-79.3845878266,CA,5814,STARBUCKS #7160,CreditCardTransaction,Starbucks,4.81,ON,POS,Toronto,2019-04-19T18:33:00Z,M4W 1A8,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,1b802fea-5771-4a42-84ac-934e98df0a2d,43.6709568721,4806f34e-075a3995-f347-4b99-b1bd-2545865f0ee4,100 Bloor St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd08906"),-79.3855547228,CA,5812,JACK ASTOR'S 8766,CreditCardTransaction,Jack Astor's,110.04,ON,POS,Toronto,2019-10-12T13:36:00Z,M4W 3T3,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,8ccaae26-c6dd-48b9-8652-60b640ef2aa3,43.6707278444,4806f34e-09037cdc-bf67-46e9-8e92-5543473eb2db,2 Bloor St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd08907"),-79.3943483828,CA,5541,PETROCAN #50288,CreditCardTransaction,Petro-Canada,35.23,ON,POS,Toronto,2019-07-01T08:20:00Z,M5V 2J2,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,1579ef2e-8ac4-4dfb-944b-d448f6cd919b,43.6447305979,4806f34e-099117ff-8a38-46c9-a205-03a8699e5bdd,55 Spadina Ave,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Auto and Transport"]"
ObjectId("5db4f9d2bf2b03355cd08909"),-79.384052426,CA,5921,LCBO #411,CreditCardTransaction,LCBO,30.60,ON,POS,Toronto,2019-04-12T07:02:00Z,M4Y 1Y5,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,dc64d524-8ea5-4ae2-8ff6-37acadc44ea6,43.664436075,4806f34e-0a8b68ab-1be5-4381-87cb-911b1fe46ef3,547 Yonge St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd0890b"),-79.3764418241,CA,5411,METRO #936,CreditCardTransaction,Metro,66.51,ON,POS,Toronto,2019-04-03T11:56:00Z,M5B 2R1,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,ad1501ee-d296-4183-8d3e-f30b9655de8b,43.6583805403,4806f34e-0ba8b964-64b4-4175-8a8a-292ea5ecc41c,89 Gould St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd0890d"),-79.3780281662,CA,5541,PETROCAN #99928,CreditCardTransaction,Petro-Canada,34.76,ON,POS,Toronto,2019-06-05T07:12:00Z,M4Y 2H7,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,bb778964-813c-4eef-97c6-f67cdd55429c,43.6666375713,4806f34e-0cb51739-3484-40c1-a742-752007164a1b,505 Jarvis St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Auto and Transport"]"
ObjectId("5db4f9d2bf2b03355cd08913"),,,6012,MTG CO 986989596,DepositAccountTransaction,Generic Mortgage,698.31,,,,2019-05-11T00:00:00.001Z,,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,5819eb82-0a1b-4052-a0b3-f3d3eec7e7fd,,4806f34e-0ef5482b-747a-4bd6-a52a-29cee88d78d3,,bc176c5f-c6a0-4e56-b9e0-efd9158a8412,"["Transfer"]"
ObjectId("5db4f9d2bf2b03355cd08914"),-79.3876105532,CA,5251,CDN TIRE STORE #92247,CreditCardTransaction,Canadian Tire,51.79,ON,POS,Toronto,2019-10-02T16:08:00Z,M4W 2H2,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,0c0878f1-2211-46ef-b362-86c002e94fe9,43.6737127303,4806f34e-0f27e317-6b58-4d77-8638-e82266e210ef,839 Yonge St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Home"]"
ObjectId("5db4f9d2bf2b03355cd08915"),-79.3806913717,CA,7832,CINEPLEX 9998,CreditCardTransaction,Cineplex,68.74,ON,POS,Toronto,2019-05-26T17:34:00Z,M5B 2G9,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,f41eca21-322e-4de3-a714-9a14bed6d630,43.6566929463,4806f34e-0f578a78-7520-453b-b76a-446e61cd554d,10 Dundas St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Entertainment"]"
ObjectId("5db4f9d2bf2b03355cd08916"),-79.385134243,CA,7523,TORONTO PARKING AUTHORITY,CreditCardTransaction,Toronto Parking Authority,9.10,ON,POS,Toronto,2019-06-08T08:19:00Z,,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,32bbf372-8540-400d-8b6d-5100a229e317,43.669075915,4806f34e-0fcb98c6-55a6-46a3-88b4-ff5f04261e76,20 Charles St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Shopping"]"
ObjectId("5db4f9d2bf2b03355cd08917"),-79.3845878266,CA,5411,LONGO'S #6,CreditCardTransaction,Longo's,73.69,ON,POS,Toronto,2019-04-24T18:00:00Z,M4W 1A7,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,bcc93bd0-09d0-4ccf-963a-c75b6ad08f0a,43.6709568721,4806f34e-105844ce-3236-42d8-9bd0-4e4c10e431a5,100 Bloor St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd08935"),-79.3874502472,CA,5651,H&M CA #991 - TORONTO,CreditCardTransaction,H&M,114.79,ON,POS,Toronto,2019-04-28T10:21:00Z,M4W 1A3,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,bf59845c-1aba-4147-82a0-ab204f33333c,43.6698459665,4806f34e-232a738e-0645-4ca2-92bd-d33cfbe49278,15 Bloor St W,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Shopping"]"
ObjectId("5db4f9d2bf2b03355cd0893a"),-79.385316433,CA,5651,HUDSON'S BAY #9882,CreditCardTransaction,Hudson's Bay,110.05,ON,POS,Toronto,2019-09-15T07:02:00Z,M4W 3H7,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,69e9f36a-0bea-4a8c-abeb-b782bd70d460,43.6707843003,4806f34e-25bf0dde-bef9-4ab7-bd17-6e90b44dd905,44 Bloor St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Shopping"]"
ObjectId("5db4f9d2bf2b03355cd08944"),,,6012,PS708 C/C PAYMENT,CreditCardTransaction,,871.30,,ACCT,,2019-08-01T00:00:00.001Z,,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,b1541b4a-c62f-40f3-aa02-b02f18267223,,4806f34e-314739d1-16e9-4952-9e4a-978045548240,,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Transfer"]"
